time,mode,action,moved_wid,from_idx,to_idx,drag_dist,scroll_pos,inversion_count,is_error_move,order_snapshot
0.018,씹상남자 (80개),INIT,0,0,0,0,0,1595,0,7|22|46|53|55|63|44|65|47|2|60|57|72|32|67|38|15|14|19|34|59|73|35|79|11|29|31|5|69|58|61|27|42|13|17|40|8|56|25|76|80|62|66|18|1|26|41|48|77|49|23|37|71|39|28|50|10|45|70|36|33|16|3|21|52|9|24|74|43|64|30|75|20|54|78|6|4|51|12|68
60.171,씹상남자 (80개),MOVE,1,0,1,1,0,5,0,
60.171,씹상남자 (80개),MOVE,1,0,1,1,0,5,0,
60.171,씹상남자 (80개),MOVE,1,0,1,1,0,5,0,
60.171,씹상남자 (80개),MOVE,1,0,1,1,0,5,0,
60.171,씹상남자 (80개),MOVE,1,0,1,1,0,5,0,
60.171,씹상남자 (80개),MOVE,1,0,1,1,0,5,0,
60.171,씹상남자 (80개),MOVE,1,0,1,1,0,5,0,
60.171,씹상남자 (80개),MOVE,1,0,1,1,0,5,0,
60.171,씹상남자 (80개),MOVE,1,0,1,1,0,5,0,
60.171,씹상남자 (80개),MOVE,1,0,1,1,0,5,0,
60.171,씹상남자 (80개),MOVE,1,0,1,1,0,5,0,
60.171,씹상남자 (80개),MOVE,1,0,1,1,0,5,0,
60.171,씹상남자 (80개),MOVE,1,0,1,1,0,5,0,
60.171,씹상남자 (80개),MOVE,1,0,1,1,0,5,0,
60.171,씹상남자 (80개),MOVE,1,0,1,1,0,5,0,
60.171,씹상남자 (80개),MOVE,1,0,1,1,0,5,0,
60.171,씹상남자 (80개),MOVE,1,0,1,1,0,5,0,
60.171,씹상남자 (80개),MOVE,1,0,1,1,0,5,0,
60.171,씹상남자 (80개),MOVE,1,0,1,1,0,5,0,
60.171,씹상남자 (80개),MOVE,1,0,1,1,0,5,0,
60.171,씹상남자 (80개),MOVE,1,0,1,1,0,5,0,
60.171,씹상남자 (80개),MOVE,1,0,1,1,0,5,0,
60.171,씹상남자 (80개),MOVE,1,0,1,1,0,5,0,
60.171,씹상남자 (80개),MOVE,1,0,1,1,0,5,0,
60.171,씹상남자 (80개),MOVE,1,0,1,1,0,5,0,
60.171,씹상남자 (80개),MOVE,1,0,1,1,0,5,0,
60.171,씹상남자 (80개),MOVE,1,0,1,1,0,5,0,
60.171,씹상남자 (80개),MOVE,1,0,1,1,0,5,0,
60.171,씹상남자 (80개),MOVE,1,0,1,1,0,5,0,
60.171,씹상남자 (80개),MOVE,1,0,1,1,0,5,0,
60.171,씹상남자 (80개),MOVE,1,0,1,1,0,5,0,
60.171,씹상남자 (80개),MOVE,1,0,1,1,0,5,0,
60.171,씹상남자 (80개),MOVE,1,0,1,1,0,5,0,
60.171,씹상남자 (80개),MOVE,1,0,1,1,0,5,0,
60.171,씹상남자 (80개),MOVE,1,0,1,1,0,5,0,
60.171,씹상남자 (80개),MOVE,1,0,1,1,0,5,0,
60.171,씹상남자 (80개),MOVE,1,0,1,1,0,5,0,
60.171,씹상남자 (80개),MOVE,1,0,1,1,0,5,0,
60.171,씹상남자 (80개),MOVE,1,0,1,1,0,5,0,
60.171,씹상남자 (80개),MOVE,1,0,1,1,0,5,0,
60.171,씹상남자 (80개),MOVE,1,0,1,1,0,5,0,
60.171,씹상남자 (80개),MOVE,1,0,1,1,0,5,0,
60.171,씹상남자 (80개),MOVE,1,0,1,1,0,5,0,
60.171,씹상남자 (80개),MOVE,1,0,1,1,0,5,0,
60.171,씹상남자 (80개),MOVE,1,0,1,1,0,5,0,
60.171,씹상남자 (80개),MOVE,1,0,1,1,0,5,0,
60.171,씹상남자 (80개),MOVE,1,0,1,1,0,5,0,
60.171,씹상남자 (80개),MOVE,1,0,1,1,0,5,0,
60.171,씹상남자 (80개),MOVE,1,0,1,1,0,5,0,
60.171,씹상남자 (80개),MOVE,1,0,1,1,0,5,0,
60.171,씹상남자 (80개),MOVE,1,0,1,1,0,5,0,
60.171,씹상남자 (80개),MOVE,1,0,1,1,0,5,0,
60.171,씹상남자 (80개),MOVE,1,0,1,1,0,5,0,
60.171,씹상남자 (80개),MOVE,1,0,1,1,0,5,0,
60.171,씹상남자 (80개),MOVE,1,0,1,1,0,5,0,
60.171,씹상남자 (80개),MOVE,1,0,1,1,0,5,0,
60.171,씹상남자 (80개),MOVE,1,0,1,1,0,5,0,
60.171,씹상남자 (80개),MOVE,1,0,1,1,0,5,0,
60.171,씹상남자 (80개),MOVE,1,0,1,1,0,5,0,
60.171,씹상남자 (80개),MOVE,1,0,1,1,0,5,0,
60.171,씹상남자 (80개),MOVE,1,0,1,1,0,5,0,
60.171,씹상남자 (80개),MOVE,1,0,1,1,0,5,0,
60.171,씹상남자 (80개),MOVE,1,0,1,1,0,5,0,
60.171,씹상남자 (80개),MOVE,1,0,1,1,0,5,0,
60.171,씹상남자 (80개),MOVE,1,0,1,1,0,5,0,
60.171,씹상남자 (80개),MOVE,1,0,1,1,0,5,0,
60.171,씹상남자 (80개),MOVE,1,0,1,1,0,5,0,
60.171,씹상남자 (80개),MOVE,1,0,1,1,0,5,0,
60.171,씹상남자 (80개),MOVE,1,0,1,1,0,5,0,
60.171,씹상남자 (80개),MOVE,1,0,1,1,0,5,0,
60.171,씹상남자 (80개),MOVE,1,0,1,1,0,5,0,
60.171,씹상남자 (80개),MOVE,1,0,1,1,0,5,0,
60.171,씹상남자 (80개),MOVE,1,0,1,1,0,5,0,
60.171,씹상남자 (80개),MOVE,1,0,1,1,0,5,0,
60.171,씹상남자 (80개),MOVE,1,0,1,1,0,5,0,
60.171,씹상남자 (80개),MOVE,1,0,1,1,0,5,0,
60.171,씹상남자 (80개),MOVE,1,0,1,1,0,5,0,
60.171,씹상남자 (80개),MOVE,1,0,1,1,0,5,0,
60.171,씹상남자 (80개),MOVE,1,0,1,1,0,5,0,
60.171,씹상남자 (80개),MOVE,1,0,1,1,0,5,0,
60.171,씹상남자 (80개),MOVE,1,0,1,1,0,5,0,
60.171,씹상남자 (80개),MOVE,1,0,1,1,0,5,0,
60.171,씹상남자 (80개),MOVE,1,0,1,1,0,5,0,
60.171,씹상남자 (80개),MOVE,1,0,1,1,0,5,0,
60.171,씹상남자 (80개),MOVE,1,0,1,1,0,5,0,
60.171,씹상남자 (80개),MOVE,1,0,1,1,0,5,0,
60.171,씹상남자 (80개),MOVE,1,0,1,1,0,5,0,
60.171,씹상남자 (80개),MOVE,1,0,1,1,0,5,0,
60.171,씹상남자 (80개),MOVE,1,0,1,1,0,5,0,
60.171,씹상남자 (80개),MOVE,1,0,1,1,0,5,0,
60.171,씹상남자 (80개),MOVE,1,0,1,1,0,5,0,
60.171,씹상남자 (80개),MOVE,1,0,1,1,0,5,0,
60.171,씹상남자 (80개),MOVE,1,0,1,1,0,5,0,
60.171,씹상남자 (80개),MOVE,1,0,1,1,0,5,0,
60.171,씹상남자 (80개),MOVE,1,0,1,1,0,5,0,
60.171,씹상남자 (80개),MOVE,1,0,1,1,0,5,0,
60.171,씹상남자 (80개),MOVE,1,0,1,1,0,5,0,
60.171,씹상남자 (80개),MOVE,1,0,1,1,0,5,0,
60.171,씹상남자 (80개),MOVE,1,0,1,1,0,5,0,
60.171,씹상남자 (80개),MOVE,1,0,1,1,0,5,0,
60.175,씹상남자 (80개),END,0,0,0,0,0,0,0,51|16|37|10|54|80|57|70|29|64|32|67|4|36|11|34|21|60|48|45|58|61|8|15|6|7|13|27|72|23|17|18|5|24|78|41|46|44|50|28|62|47|2|38|75|25|20|42|66|49|12|55|40|39|63|43|33|22|53|73|19|65|59|56|3|79|35|31|77|14|52|71|69|76|68|26|1|74|30|9
